Product Category,Price(Dollar),Number of  reviews,Order Date,Order Week,Order Month,Order Year,Total Sales
Audio Video ,27,82773,2019-01-03,3,1,2019,2234871
Audio Video ,54,5121,2019-01-04,4,1,2019,276534
Audio Video ,24,126957,2019-01-04,4,1,2019,3046968
Audio Video ,15,18837,2019-01-04,4,1,2019,282555
Audio Video ,78,13141,2019-01-05,5,1,2019,1024998
Audio Video ,30,11748,2019-01-06,6,1,2019,352440
Audio Video ,28,26724,2019-01-06,6,1,2019,748272
Audio Video ,127,5762,2019-01-06,6,1,2019,731774
Audio Video ,12,33877,2019-01-06,6,1,2019,406524
Audio Video ,19,8765,2019-01-06,6,1,2019,166535
Audio Video ,14,1661,2019-01-06,6,1,2019,23254
Audio Video ,99,7304,2019-01-06,6,1,2019,723096
Audio Video ,39,7409,2019-01-06,6,1,2019,288951
Audio Video ,22,4027,2019-01-06,6,1,2019,88594
Audio Video ,10,10101,2019-01-07,0,1,2019,101010
Audio Video ,14,5953,2019-01-07,0,1,2019,83342
Audio Video ,12,3113,2019-01-09,2,1,2019,37356
Audio Video ,16,11539,2019-01-09,2,1,2019,184624
Audio Video ,110,7574,2019-01-10,3,1,2019,833140
Audio Video ,16,10803,2019-01-10,3,1,2019,172848
Audio Video ,99,7947,2019-01-11,4,1,2019,786753
Audio Video ,6,57662,2019-01-13,6,1,2019,345972
Audio Video ,7,31091,2019-01-13,6,1,2019,217637
Audio Video ,49,2020,2019-01-13,6,1,2019,98980
Audio Video ,134,1680,2019-01-13,6,1,2019,225120
Audio Video ,139,3479,2019-01-13,6,1,2019,483581
Audio Video ,7,72951,2019-01-13,6,1,2019,510657
Audio Video ,46,1066,2019-01-13,6,1,2019,49036
Audio Video ,13,2563,2019-01-13,6,1,2019,33319
Audio Video ,131,41637,2019-01-13,6,1,2019,5454447
Audio Video ,59,1808,2019-01-13,6,1,2019,106672
Audio Video ,168,492,2019-01-13,6,1,2019,82656
Audio Video ,12,14845,2019-01-14,0,1,2019,178140
Audio Video ,12,15081,2019-01-15,1,1,2019,180972
Audio Video ,9,1935,2019-01-16,2,1,2019,17415
Audio Video ,84,3013,2019-01-16,2,1,2019,253092
Audio Video ,59,1631,2019-01-16,2,1,2019,96229
Audio Video ,99,6019,2019-01-16,2,1,2019,595881
Audio Video ,79,4806,2019-01-18,4,1,2019,379674
Audio Video ,89,2673,2019-01-19,5,1,2019,237897
Audio Video ,149,2556,2019-01-19,5,1,2019,380844
Audio Video ,82,5195,2019-01-19,5,1,2019,425990
Audio Video ,179,2703,2019-01-19,5,1,2019,483837
Audio Video ,34,7339,2019-01-20,6,1,2019,249526
Audio Video ,5,66,2019-01-20,6,1,2019,330
Audio Video ,14,15641,2019-01-20,6,1,2019,218974
Audio Video ,16,9491,2019-01-20,6,1,2019,151856
Audio Video ,39,830,2019-01-20,6,1,2019,32370
Audio Video ,379,4947,2019-01-20,6,1,2019,1874913
Audio Video ,279,129,2019-01-20,6,1,2019,35991
Audio Video ,299,76,2019-01-20,6,1,2019,22724
Audio Video ,32,1274,2019-01-20,6,1,2019,40768
Audio Video ,44,13224,2019-01-20,6,1,2019,581856
Audio Video ,279,6041,2019-01-20,6,1,2019,1685439
Audio Video ,132,86,2019-01-20,6,1,2019,11352
Audio Video ,13,5607,2019-01-20,6,1,2019,72891
Audio Video ,39,18920,2019-01-20,6,1,2019,737880
Audio Video ,259,9421,2019-01-20,6,1,2019,2440039
Audio Video ,11,1915,2019-01-20,6,1,2019,21065
Audio Video ,121,5352,2019-01-20,6,1,2019,647592
Audio Video ,26,2732,2019-01-21,0,1,2019,71032
Audio Video ,159,5758,2019-01-21,0,1,2019,915522
Audio Video ,29,2717,2019-01-21,0,1,2019,78793
Audio Video ,133,2667,2019-01-21,0,1,2019,354711
Audio Video ,39,829,2019-01-21,0,1,2019,32331
Audio Video ,21,5518,2019-01-21,0,1,2019,115878
Audio Video ,22,8805,2019-01-23,2,1,2019,193710
Audio Video ,155,1773,2019-01-23,2,1,2019,274815
Audio Video ,99,2233,2019-01-26,5,1,2019,221067
Audio Video ,21,641,2019-01-26,5,1,2019,13461
Audio Video ,97,1996,2019-01-26,5,1,2019,193612
Audio Video ,467,2980,2019-01-26,5,1,2019,1391660
Audio Video ,119,3360,2019-01-26,5,1,2019,399840
Audio Video ,79,5229,2019-01-26,5,1,2019,413091
Audio Video ,22,4425,2019-01-26,5,1,2019,97350
Audio Video ,119,242,2019-01-26,5,1,2019,28798
Audio Video ,39,4517,2019-01-26,5,1,2019,176163
Audio Video ,95,4989,2019-01-27,6,1,2019,473955
Audio Video ,19,3736,2019-01-27,6,1,2019,70984
Audio Video ,247,98,2019-01-27,6,1,2019,24206
Audio Video ,119,1820,2019-01-28,0,1,2019,216580
Audio Video ,61,3892,2019-01-30,2,1,2019,237412
Audio Video ,24,10143,2019-01-30,2,1,2019,243432
Audio Video ,69,55,2019-01-31,3,1,2019,3795
Audio Video ,10,4305,2019-02-01,4,2,2019,43050
Audio Video ,8,19329,2019-02-02,5,2,2019,154632
Audio Video ,12,1585,2019-02-02,5,2,2019,19020
Audio Video ,389,1321,2019-02-02,5,2,2019,513869
Audio Video ,149,1101,2019-02-03,6,2,2019,164049
Audio Video ,15,2343,2019-02-03,6,2,2019,35145
Audio Video ,113,5151,2019-02-04,0,2,2019,582063
Audio Video ,48,549,2019-02-04,0,2,2019,26352
Audio Video ,13,1761,2019-02-04,0,2,2019,22893
Audio Video ,13,5088,2019-02-06,2,2,2019,66144
Audio Video ,54,6310,2019-02-06,2,2,2019,340740
Audio Video ,599,35,2019-02-06,2,2,2019,20965
Audio Video ,18,5628,2019-02-06,2,2,2019,101304
Audio Video ,131,28,2019-02-07,3,2,2019,3668
Audio Video ,49,914,2019-02-07,3,2,2019,44786
Audio Video ,81,5133,2019-02-08,4,2,2019,415773
Audio Video ,39,112,2019-02-11,0,2,2019,4368
Audio Video ,119,2953,2019-02-11,0,2,2019,351407
Audio Video ,99,2402,2019-02-11,0,2,2019,237798
Audio Video ,47,100,2019-02-11,0,2,2019,4700
Audio Video ,319,7799,2019-02-11,0,2,2019,2487881
Audio Video ,69,418,2019-02-11,0,2,2019,28842
Audio Video ,17,1666,2019-02-11,0,2,2019,28322
Audio Video ,18,109,2019-02-11,0,2,2019,1962
Audio Video ,49,3232,2019-02-11,0,2,2019,158368
Audio Video ,227,2845,2019-02-12,1,2,2019,645815
Audio Video ,35,137,2019-02-14,3,2,2019,4795
Audio Video ,17,2499,2019-02-14,3,2,2019,42483
Audio Video ,10,131,2019-02-14,3,2,2019,1310
Audio Video ,59,195,2019-02-14,3,2,2019,11505
Audio Video ,445,1312,2019-02-15,4,2,2019,583840
Audio Video ,250,1039,2019-02-16,5,2,2019,259750
Audio Video ,29,324,2019-02-16,5,2,2019,9396
Audio Video ,29,1290,2019-02-17,6,2,2019,37410
Audio Video ,399,895,2019-02-18,0,2,2019,357105
Audio Video ,12,3107,2019-02-18,0,2,2019,37284
Audio Video ,74,3461,2019-02-20,2,2,2019,256114
Audio Video ,27,8255,2019-02-20,2,2,2019,222885
